Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
750,100,100,17,10950
751,200,200,11,11150
752,100,100,19,11250
753,100,-100,25,11150
754,100,-100,18,11050
755,100,100,19,11150
756,100,-100,22,11050
757,100,100,20,11150
758,100,-100,25,11050
759,100,-100,22,10950
760,100,100,19,11050
761,100,-100,18,10950
762,100,-100,26,10850
763,100,150,21,11000
764,200,200,21,11200
765,200,-200,15,11000
766,100,-100,22,10900
767,100,-100,13,10800
768,100,-100,19,10700
769,100,-100,26,10600
770,100,150,21,10750
771,100,100,14,10850
772,100,-100,22,10750
773,100,100,20,10850
774,100,-100,23,10750
775,100,-100,13,10650
776,200,200,20,10850
777,200,-200,20,10650
778,100,-100,16,10550
779,100,-100,17,10450
780,100,-100,18,10350
781,100,-100,23,10250
782,100,100,17,10350
783,100,100,14,10450
784,100,100,20,10550
785,200,0,20,10550
786,100,0,20,10550
787,100,100,20,10650
788,100,100,20,10750
789,200,200,21,10950
790,100,100,20,11050
791,100,100,18,10950
792,200,200,19,11350
793,100,100,17,11450
794,100,-100,17,11350
795,100,-100,23,11250
796,100,-100,13,11150
797,100,100,13,11250
798,100,-100,14,11150
799,100,-100,24,11050
800,100,-100,19,10950
801,200,200,21,11150
802,100,-100,13,11050
803,200,-200,12,10850
804,100,100,19,10950
805,100,100,20,11050
806,100,-100,15,10950
807,100,100,18,11050
808,100,-100,23,10950
809,200,0,17,10950
810,100,-100,15,10850
811,100,100,19,10950
812,100,-100,23,10850
813,200,200,21,11050
814,100,150,21,11200
815,100,100,21,11300
816,100,100,14,11400
817,100,0,20,11400
818,100,-100,19,11300
819,100,-100,14,11200
820,100,-100,17,11100
821,100,100,20,11200
822,200,-200,12,10800
823,200,-200,12,10800
824,200,200,21,11000
825,100,-100,20,10900
826,100,-100,17,10800
827,100,-100,18,10700
828,100,-100,25,10600
829,200,200,21,10800
830,100,100,21,10900
831,100,100,21,11000
832,100,100,15,11100
833,200,200,21,11300
834,100,150,21,11450
835,100,100,13,11550
836,200,0,20,11550
837,100,100,13,11650
838,100,-100,23,11550
839,100,100,20,11650
840,100,-100,17,11550
841,100,100,21,11650
842,100,-100,22,11550
843,100,-100,22,11450
844,100,100,16,11550
845,100,100,20,11650
846,100,100,20,11750
847,200,-200,19,11550
848,100,100,18,11550
849,100,100,18,11750
850,100,100,21,11850
851,100,-100,25,11750
852,100,100,21,11850
853,100,-100,17,11750
854,200,-200,11,11550
855,100,-100,25,11450
856,100,-100,14,11350
857,100,-100,15,11250
858,100,100,19,11350
859,100,150,21,11500
860,200,200,21,11700
861,100,150,21,11850
862,100,-100,20,11750
863,100,100,20,11850
864,100,-100,22,11750
865,100,150,21,11900
866,100,-100,24,11800
867,100,-100,17,11700
868,100,-100,25,11600
869,100,-100,17,11500
870,100,-100,24,11400
871,100,100,17,11500
872,100,150,21,11650
873,100,100,19,11750
874,200,200,13,11950
875,100,100,13,12050
876,100,-100,15,11950
877,100,-100,22,11850
878,100,100,17,11950
879,100,100,16,12050
880,100,100,20,12150
881,100,-100,14,12050
882,100,100,21,12150
883,100,0,17,12150
884,100,-100,23,12050
885,100,100,19,12150
886,100,100,18,12250
887,100,100,15,12350
888,100,100,21,12450
889,100,-100,14,12350
890,100,100,20,12450
891,100,-100,19,12350
892,100,100,20,12450
893,100,100,20,12550
894,100,-100,19,12450
895,100,100,17,12550
896,100,100,19,12650
897,100,100,17,12650
898,100,100,12,12850
899,100,-100,20,12750
900,100,100,20,12850
901,200,200,21,13050
902,100,-100,22,12950
903,100,100,16,13050
904,100,100,20,13150
905,200,-200,19,12950
906,100,-100,23,12850
907,100,-100,17,12750
908,100,0,20,12750
909,100,100,20,12850
910,100,100,14,12950
911,100,100,18,13050
912,100,-100,13,12950
913,100,-100,17,12850
914,100,100,20,12950
915,100,-100,18,12850
916,100,0,19,12850
917,200,200,16,13050
918,100,150,21,13200
919,100,100,17,13100
920,200,200,16,13500
921,100,100,12,13600
922,100,-100,24,13500
923,100,-100,20,13400
924,200,-200,13,13200
925,100,-100,25,13100
926,100,-100,14,13000
927,100,100,12,13100
928,100,-100,22,13000
929,100,-100,14,12900
930,100,-100,22,12800
931,100,-100,23,12700
932,100,-100,18,12600
933,100,-100,22,12500
934,100,100,20,12600
935,100,100,19,12700
936,100,-100,26,12600
937,100,100,19,12700
938,100,100,20,12800
939,100,-100,24,12700
940,200,200,21,12900
941,100,-100,13,12800
942,100,100,18,12900
943,100,100,18,13000
944,100,-100,17,12900
945,100,150,21,13050
946,100,0,19,12950
947,100,0,19,13050
948,100,-100,20,12950
949,100,-100,17,12850
950,200,-200,18,12650
951,100,-100,17,12550
952,100,0,21,12550
953,100,-100,19,12450
954,100,0,21,12450
955,100,100,20,12550
956,100,150,21,12700
957,100,-100,12,12600
958,100,0,17,12600
959,100,-100,17,12500
960,100,150,21,12650
961,100,-100,17,12550
962,100,100,19,12650
963,100,-100,25,12550
964,100,100,20,12650
965,100,100,20,12750
966,100,100,19,12850
967,100,100,18,12950
968,100,100,20,13050
969,100,-100,19,12950
970,100,100,13,13050
971,100,150,21,13200
972,100,-100,11,13100
973,100,0,17,13100
974,100,-100,19,13000
975,100,100,20,13100
976,100,-100,18,13000
977,100,100,17,13100
978,100,-100,23,13000
979,100,100,16,13100
980,100,0,20,13100
981,100,100,18,13200
982,100,100,15,13100
983,200,200,20,13500
984,100,-100,22,13400
985,100,-100,23,13300
986,100,-100,25,13200
