Hand Number, Hand Wager, Hand Net, Hand Total, Bank Total
496,100,0,20,10550
497,100,100,20,10550
498,100,-100,16,10550
499,200,-200,13,10350
500,100,-100,16,10250
501,100,-100,17,10150
502,100,-100,14,10050
503,100,150,21,10200
504,100,-100,19,10100
505,100,150,21,10250
506,100,150,21,10400
507,100,100,21,10500
508,100,100,18,10600
509,100,-100,25,10500
510,100,-100,23,10400
511,200,-200,14,10200
512,100,100,17,10300
513,200,-200,12,10100
514,100,-100,17,10000
515,100,100,20,10100
516,100,100,21,10200
517,200,-200,17,10000
518,200,200,16,10200
519,100,-100,26,10100
520,100,-100,15,10000
521,100,100,21,10100
522,100,0,18,10100
523,100,150,21,10250
524,100,100,20,10350
525,100,100,18,10450
526,100,0,21,10450
527,100,-100,17,10350
528,100,150,21,10500
529,100,-100,23,10400
530,100,-100,24,10300
531,100,100,19,10400
532,200,200,18,10600
533,100,100,19,10700
534,100,-100,17,10600
535,100,100,20,10700
536,100,-100,14,10600
537,100,-100,17,10500
538,100,100,19,10600
539,100,-100,19,10500
540,100,100,20,10600
541,100,100,12,10700
542,100,-100,23,10600
543,100,-100,17,10500
544,100,-100,18,10400
545,100,100,19,10500
546,200,200,21,10700
547,100,-100,17,10600
548,100,-100,17,10500
549,100,150,21,10650
550,100,-100,15,10550
551,100,-100,22,10450
552,200,-200,16,10250
553,100,100,19,10350
554,100,-100,15,10250
555,100,0,20,10250
556,100,-100,14,10150
557,100,0,17,10150
558,100,-100,22,10050
559,100,100,12,10150
560,200,200,21,10150
561,200,200,20,10550
562,100,100,17,10650
563,100,100,20,10750
564,100,-100,14,10650
565,100,0,18,10650
566,200,-200,15,10450
567,100,100,17,10550
568,100,-100,23,10450
569,100,100,19,10550
570,100,100,19,10650
571,100,0,18,10650
572,100,150,21,10800
573,100,100,19,10900
574,100,-100,17,10800
575,100,100,20,10900
576,100,0,19,10900
577,100,0,17,10900
578,100,-100,17,10800
579,100,-100,17,10700
580,200,200,12,10900
581,100,100,13,11000
582,100,-100,14,10900
583,100,-100,19,10800
584,100,-100,16,10700
585,100,0,18,10700
586,100,0,17,10700
587,100,-100,17,10600
588,100,-100,22,10500
589,100,-100,13,10400
590,100,-100,19,10300
591,100,150,21,10450
592,100,100,21,10550
593,100,0,20,10550
594,100,-100,19,10450
595,100,0,20,10450
596,100,-100,15,10350
597,200,0,19,10350
598,100,100,20,10450
599,100,-100,16,10350
600,100,100,17,10450
601,100,-100,25,10350
602,100,100,18,10450
603,100,100,16,10450
604,100,100,20,10650
605,100,0,17,10650
606,100,100,17,10750
607,100,100,13,10850
608,100,-100,17,10750
609,100,100,20,10850
610,100,100,19,10950
611,100,0,18,10950
612,200,0,18,10950
613,100,-100,13,10850
614,100,100,19,10950
